tmin_ps tmax_ps npoints slope_A2_ps D_cm2_s err_std_cm2_s ci95_low ci95_high R2
0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+01,1.527003781818181638e+00,2.545006303030302816e-05,1.457342943539849283e-06,2.265963604490358569e-05,2.840567274986226083e-05,9.682115000944289118e-01
0.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+01,5.945326195488723764e-01,9.908876992481206703e-06,1.634035978278920546e-06,6.738300543582644627e-06,1.312768132675768021e-05,6.493514748155859717e-01
0.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+01,3.109543590656284606e-01,5.182572651093808204e-06,9.201953394617904260e-07,3.383499667263796599e-06,6.957674349239770799e-06,5.125899278836874018e-01
0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+01,2.057580116322701991e-01,3.429300193871170522e-06,5.833329279067501460e-07,2.242797353950964286e-06,4.580520338111782408e-06,4.673765419959302614e-01
0.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+01,1.315730835054021997e-01,2.192884725090036817e-06,4.157275027043763155e-07,1.365205504414894237e-06,3.012021291605865692e-06,3.537329637059469789e-01
5.000000000000000000e-01,5.000000000000000000e+00,4.600000000000000000e+01,5.207790749306163980e-02,8.679651248843607398e-07,2.483079319040013561e-07,3.696947049017154233e-07,1.349485665828257132e-06,2.128289354547914236e-01
1.000000000000000000e+00,5.000000000000000000e+00,4.100000000000000000e+01,1.168407665505235248e-02,1.947346109175392198e-07,1.985118742878213626e-07,-2.028991688443603431e-07,5.868495196412921313e-07,2.427985566534451856e-02
2.000000000000000000e+00,5.000000000000000000e+00,3.100000000000000000e+01,1.170806451612912968e-02,1.951344086021521520e-07,3.078394560762215512e-07,-3.911949827111510393e-07,8.065393389047877848e-07,1.277247171232587242e-02
3.000000000000000000e+00,5.000000000000000000e+00,2.100000000000000000e+01,-6.292844155844151688e-02,-1.048807359307358539e-06,4.848929104394606156e-07,-2.006588264392532617e-06,-1.106511789509179117e-07,1.804951597949717712e-01
5.000000000000000000e-01,2.000000000000000000e+00,1.600000000000000000e+01,2.525446617647056913e-01,4.209077696078428105e-06,1.359206189989445813e-06,1.576161884335349931e-06,6.913468418270609621e-06,3.677842649786629003e-01
8.000000000000000444e-01,1.800000000000000044e+00,1.100000000000000000e+01,3.586999999999977706e-02,5.978333333333297200e-07,1.336099349559390168e-06,-2.006003068181835158e-06,3.267417537878775749e-06,1.758637777863270024e-02
2.500000000000000000e+00,4.000000000000000000e+00,1.600000000000000000e+01,1.893676470588307945e-02,3.156127450980513263e-07,6.497126497124688858e-07,-9.993263624567301450e-07,1.561888414612187698e-06,1.459276656912256165e-02
3.000000000000000000e+00,4.500000000000000000e+00,1.600000000000000000e+01,-3.656102941176456872e-02,-6.093504901960761805e-07,6.374203061668507712e-07,-1.863023935355384422e-06,6.233645409818410427e-07,5.255876958793281872e-02
